created_at,text
2021-12-03 12:05:40,There's A Reason Why The #Lakers Stink Now Is Because of Alex Caruso #BullsNation #NewYorkForever
2021-12-03 12:05:13,"🏀 #NBA #NBATwitter #NBAPicks #LAC #LAL #LosAngelesCL #Clippers #Lakers #LAKERSWIN #lakersnation 
Battle Of LA
Pick The Winner"
2021-12-03 12:01:00,RT @thirstyfornews: #LeBronJames' First Comments After Being Cleared For #NBA Return - #Lakers #LakeShow https://t.co/gcYSCegKKv
2021-12-03 12:00:25,#LeBronJames' First Comments After Being Cleared For #NBA Return - #Lakers #LakeShow https://t.co/gcYSCegKKv
2021-12-03 11:47:31,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 11:43:13,RT @SportyDude7: It is easy for me to keep proceeding when things get rough. #basketball #nba #sports #ballislife #k #football #basket #leb…
2021-12-03 11:21:04,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 11:17:41,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 11:11:36,"🗑️ #NBA Big Odds!

⏰ Sat, 5:00 a.m

🏀 LA Lakers vs LA Clippers 
 
✅ #Lakers have won their last 2 games.
❌… https://t.co/K7Mzt4Q5TI"
2021-12-03 11:00:48,It is easy for me to keep proceeding when things get rough. #basketball #nba #sports #ballislife #k #football… https://t.co/TzV1NSkWxz
2021-12-03 10:49:35,"🗑️ #NBA Big Odds!

⏰ Sato, 6:00 a.m

🏀 LA Lakers vs LA Clippers 
 
✅ #Lakers have won their last 2 games.
❌… https://t.co/UjjCnzjs83"
2021-12-03 10:30:02,"RT @MichaelleElla: NBA STORE DEALS: https://t.co/aY3FiKjMYW
offers a huge selection of NBA, WNBA and D-League gear from top quality brands,…"
2021-12-03 9:51:36,RT @JamesLefortnite: @mcten @wojespn LeBron beating the covid diagnosis and cleared to play Friday against the Los Angeles clippers like….…
2021-12-03 9:36:11,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 9:26:47,"Nba predictions of the day https://t.co/bir4bpauLi 🏀
#NBA75 #NBA #NBAPicks #Nets #Timberwolves #Hawks #76ers… https://t.co/LkKpzEJNuz"
2021-12-03 9:22:50,Would D’antoni be perfect for this offense forward team? @LakersNation @ESPNLosAngeles #lakers
2021-12-03 9:20:41,"The stadium “Staples Center” will be renamed “https://t.co/u2n0RPniqI Arena”🙌
Legendary home stadium of #Lakers  an… https://t.co/Vpz3tU6Ary"
2021-12-03 8:38:15,"Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 8:32:16,RT @BiG_CrYpto_Xmas: #CRYPTOrULE #1 ~ always buy the drip            $CRO #crypto.com #BigBag #coinbase #lakers #staplecenter #cryptotalk #…
2021-12-03 8:32:11,#CRYPTOrULE #1 ~ always buy the drip            $CRO #crypto.com #BigBag #coinbase #lakers #staplecenter… https://t.co/Lo1go1m3xq
2021-12-03 8:31:32,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 8:17:05,Staples Center showdown: @Lakers vs. Clippers. Proud to be the Official Global Investment Sponsor of the Los Angele… https://t.co/1Bppw81uu8
2021-12-03 8:17:05,Staples Center showdown: @Lakers vs. Clippers. Proud to be the Official Global Investment Sponsor of the Los Angele… https://t.co/OgVZ11dt86
2021-12-03 8:15:56,"RT @cbtweak: I like this... I think things are starting to change. And now we have #LebronJames back... #AnthonyDavis, #RussellWestbrook sp…"
2021-12-03 8:01:27,"I like this... I think things are starting to change. And now we have #LebronJames back... #AnthonyDavis,… https://t.co/WLfpFo4J0d"
2021-12-03 8:00:16,@SeaEagleSpur @JoshieF97 They beat our sorry arses twice 😏 #Lakers
2021-12-03 7:59:50,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 7:45:25,"""Kobe and Caron share a post-game embrace""

https://t.co/vwADvzGop7

[via r/lakers Dec 03, 2014 #Lakers]"
2021-12-03 7:44:32,"""This interview shows us why we should never ever tank :) - Nick Young interviews JHill.""

https://t.co/SFKwfLvwiE… https://t.co/xRTivUESYW"
2021-12-03 7:42:21,"Lakers News: LeBron James out of NBA Health and Safety Protocols; Cleared to Return on Court

#Lakers #LeBronJames… https://t.co/2jm6bJLxH8"
2021-12-03 7:41:56,"When you're 322pts in the paint, leads the NBA and still consider you ""soft"". Tough life AD! #LakeShow #Lakers"
2021-12-03 7:40:30,"LA Lakers vs LA Clippers Live Stream, Prediction, Preview, Injury Report, and Starting Line-up-3rd December 2021 |N… https://t.co/gVdEvzOdll"
2021-12-03 7:36:30,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 7:22:07,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 7:01:01,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 6:59:25,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 6:54:05,"Lakers star LeBron James cleared to return after “bizarre” COVID-19 results;

Read Full News ▶️… https://t.co/qDyfzpDxqd"
2021-12-03 6:46:37,"@Mike_Bresnahan How dare you pick the warriors to represent the west and you work for the #LAKERS 
Shame on you Bre… https://t.co/bsNZ9oQdCf"
2021-12-03 6:38:09,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 6:25:31,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 6:23:10,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 6:21:48,"If I were the #Lakers GM, I would have traded for DeMar DeRazon and resigned Alex Caruso. @JeanieBuss should give m… https://t.co/gb2keayh2d"
2021-12-03 6:15:49,#Lakers could have acquired DeMar DeRozan and kept Alex Caruso. Since DeRozan really wanted to play for the @Lakers
2021-12-03 6:14:02,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
2021-12-03 6:13:58,"""Lakers could trade young players to get stars this offseason, but there is a strong …""

https://t.co/oVs2rRXA7N

[… https://t.co/DYvelYpucg"
2021-12-03 6:03:26,Its time for the Lakers Start a 10 winning Streak Run... #Lakers #lakernation
2021-12-03 5:58:42,RT @PDChinaSports: LeBron James has been cleared to return to the Los Angeles @Lakers after a brief stint in the #NBA's health and safety p…
2021-12-03 5:50:53,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 5:50:21,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 5:50:07,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 5:49:08,"Rare Artwork Emerges From the Covid Pandemic to a Blue-Chip Auction House https://t.co/WzSjEAm8Ji 
#KobeBryant… https://t.co/8Y6GXjy1jR"
2021-12-03 5:48:00,LeBron James has been cleared to return to the Los Angeles @Lakers after a brief stint in the #NBA's health and saf… https://t.co/p6kSMokvr4
2021-12-03 5:47:39,"RT @SpectrumSN: ""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://…"
2021-12-03 5:46:42,"""The defensive rating is the number one metric for me."" Frank Vogel discusses the #Lakers improvements on defense. https://t.co/YLsotRAVhi"
2021-12-03 5:42:05,"RT @LakersNation: Russell Westbrook says the #Lakers haven’t had a 2-day break in a month, so this week has been nice for them."
2021-12-03 5:41:09,"RT @cookyat: Hi Lakers fan in LA!
I cannot make it happen this time at 3rd Dec. for this top game.
So I will DONATE my ticket in sec. 107,…"
2021-12-03 5:35:56,Sooooo @KingJames 👀 What happened to the Hype... #Damn #Lakers @Lakers https://t.co/sKaywIn5ON
2021-12-03 5:34:35,RT @SpectrumSN: .@russwest44 on the #Lakers-#Clippers dynamic in the city growing up. https://t.co/sqvLDsOgoQ
